Category,Question,Answer
AN E FOR AN I,"""Gentle"" becomes ""to blend""",mild & meld
EARLY AMERICA,"In 1562, in what is now S.C., these French Protestants established a colony named Port Royal",the Huguenots
BEST PICTURE OSCAR-WINNERS IN OTHER WORDS,"1954: ""Dockside""",On the Waterfront
DOWN MEXICO WAY,This gritty 1961 Tennessee Williams play unfolds in a seedy Mexican hotel,Night of the Iguana
TAKE A PILL,Pravastatin aims to block your body's ability to make this,cholesterol
TRANSPORTATION,"In ""Sixteen Candles"", Molly Ringwald says, ""I loathe"" this method of transport",the bus
AN E FOR AN I,"One means ""severely tested""; the other, ""trapped on a branch""",tried & treed
EARLY AMERICA,"In ""Of Plymouth Plantation"", he wrote that there was so much disease ""the living were scarce able to bury the dead""",William Bradford
BEST PICTURE OSCAR-WINNERS IN OTHER WORDS,"1966: ""One Bloke Year-Round""",A Man For All Seasons
DOWN MEXICO WAY,This popular resort island lies north of Cozumel off the coast of the state of Quintana Roo,Cancun
TAKE A PILL,This tranquilizer that sounds like a village was introduced in 1955 & became the USA's bestselling drug,Miltown
TRANSPORTATION,Since 1899 these stalwart animals used in transport have served as the mascots of the Army Corps of Cadets,mules
AN E FOR AN I,"""To replenish"" becomes ""to knock down""",to fill & to fell
THE BRITISH THEATRE,"Richard Attenborough, who was in the original 1952 cast of this play, helped celebrate its performance No. 20,000 in 2000",The Mousetrap
AT THE KENNEDY CENTER,Can you hear me?  This rock opera by The Who was a big hit at the Kennedy Center in 1994,Tommy
NATIONAL MONUMENTS,George Custer's men are buried in a cemetery in the national monument named for this river,Little Bighorn
THE CIRCUS,"Trainers shout, ""Tail Up!"" when they want these performers to follow each other trunk to tail",Elephants
ON THE RADIO,"Radio abbreviation that precedes the name of rap figures Quik, Pooh & Jazzy Jeff",DJ
CELEB STUFF,"On March 2, 1977 he made his first ""Tonight Show"" appearance; on May 25, 1992 he took over as host",Jay Leno
COMMON BONDS,"Door, Nobel, booby",prizes
AT THE KENNEDY CENTER,"In 1995 Luigi Bonino starred in a ballet about this ""Little Tramp"" of silent films",Charlie Chaplin
NATIONAL MONUMENTS,Scotts Bluff National Monument lies in western Nebraska on this pioneer trail,Oregon Trail
THE CIRCUS,"It's the familiar term for a circus' largest tent, where the main show appears",the big top
ON THE RADIO,"Robin Quivers is the radio consort of this self-proclaimed  ""King of All Media""",Howard Stern
CELEB STUFF,"(<a href=""http://www.j-archive.com/media/1997-11-10_J_17.jpg"" target=""_blank"">Hi, I'm Bob Eubanks.</a>)  Tea Leoni ran into this ""X-Files"" star at the Golden Globes & soon they were newlyweds",David Duchovny
COMMON BONDS,"Inner tubes, doughnuts, the ozone layer",things with holes
AT THE KENNEDY CENTER,This president's 1972 visit to China inspired an opera that played at the Kennedy Center in 1988,Richard Nixon
NATIONAL MONUMENTS,Seminole Indian leader Osceola is buried at this fort where the Civil War began,Fort Sumter
THE CIRCUS,Pink is the most popular color of this fluffy confection made from spun sugar,cotton candy
ON THE RADIO,"Call letters east of the Mississippi generally start with W; in the west, most start with this",K
CELEB STUFF,"People Magazine called his 1997 solo album ""Destination Anywhere"", ""Tres Bon""",Jon Bon Jovi
COMMON BONDS,"Peeling onions, watching Mel Gibson's film ""Forever Young"", missing Final Jeopardy!",things that make you cry
AT THE KENNEDY CENTER,"Every December, the Kennedy Center invites the public to a free sing-along of this composer's ""Messiah""",G.F. Handel
NATIONAL MONUMENTS,This Wyoming monument contains an 865-foot-high fluted column of igneous rock,Devils Tower
THE CIRCUS,"Antoinette Concello's triple somersault helped make her the ""Queen of"" this ""flying"" apparatus",trapeze
ON THE RADIO,"Detroit-born broadcaster who created ""American Top 40"" & now has his own weekly ""Countdown""",Casey Kasem
CELEB STUFF,"In a 1997 issue of ""George"", he said his cousins Michael & Joseph were ""poster boys for bad behavior""","John F. Kennedy, Jr."
COMMON BONDS,"Bobby, bowling,  rolling",pins
AT THE KENNEDY CENTER,A 1994 festival honoring this country featured the Tjapukai Aboriginal Dance Company,Australia
NATIONAL MONUMENTS,Castillo de San Marcos in this Florida city is the oldest masonry fort in the continental U.S.,St. Augustine
THE CIRCUS,This steam whistle organ draws crowds to circus parades because it can be heard from miles away: [audio clue],calliope
ON THE RADIO,"The AAA format, featuring artists like the Cranberries & Tom Petty, stands for adult album this",alternative
CELEB STUFF,"Her 1988 major label debut album was ""Y Kant Tori Read""",Tori Amos
COMMON BONDS,"Hollywood, salad, Super",bowls
THE OBLIGATORY POETRY CATEGORY,The one word quothed by Edgar Allan Poe's raven,"""Nevermore!"""
ART,You can't make a genuine tempera painting without breaking these,eggs
THE REDCOATS ARE COMING!,"On Sept. 5, 1781, 24 of this country's ships engaged British ships in Cheaspeake Bay & turned them back",France
"""HIGH"" SCHOOL","Chuck Taylor, from whom Converse named a line of these shoes, was a basketball star of the 1910s",high-tops
OFF TO A GOOD START,It's the go-ahead in a kid's game & for a car at an intersection,a green light
COLLEGE MASCOTS,"<a href=""http://www.j-archive.com/media/1997-11-10_DJ_20.jpg"" target=""_blank"">[video clue]</a>",Oregon State University
THE OBLIGATORY POETRY CATEGORY,"It follows ""Poems are made by fools like me...""","""But only God can make a tree"""
ART,"Surrealists used odd juxtapositions in this form whose name is French for ""gluing""",collage
THE REDCOATS ARE COMING!,"During the war, this first signer of the Declaration of Independence commanded the Mass. Militia",John Hancock
"""HIGH"" SCHOOL",The L.A. Dodgers & the U. of Louisville basketball team pioneered this gesture in the late '70s,the high five
OFF TO A GOOD START,"A baker who never uses packaged mixes always ""starts from"" here",scratch
COLLEGE MASCOTS,"<a href=""http://www.j-archive.com/media/1997-11-10_DJ_27.jpg"" target=""_blank"">[video clue]</a>",the University of Florida
THE OBLIGATORY POETRY CATEGORY,"In preparing to write this poem, Longfellow used ""An historical and statistical account of Nova Scotia""",Evangeline
ART,"Edward Steichen led the movement to recognize as art these images, whose name means ""drawn with light""",photographs
THE REDCOATS ARE COMING!,"In it, Thomas Paine wrote, ""The cause of America is in a great measure the cause of all mankind""",Common Sense
"""HIGH"" SCHOOL","Coastal waters beyond national jurisdiction, or the tops of some sopranos' ranges",High seas/C's
OFF TO A GOOD START,"It's a ship at home in the Arctic, or a remark that starts a conversation",an icebreaker
COLLEGE MASCOTS,"<a href=""http://www.j-archive.com/media/1997-11-10_DJ_28.jpg"" target=""_blank"">[video clue]</a>",the University of Texas
THE OBLIGATORY POETRY CATEGORY,"In a poem titled for the date when Germany invaded Poland, W.H. Auden called this ""A low dishonest decade""",1930s
ART,"17th century Flemish master known for painting women like the one seen <a href=""http://www.j-archive.com/media/1997-11-10_DJ_13.jpg"" target=""_blank"">here</a>:",Peter Paul Rubens
THE REDCOATS ARE COMING!,The Battle of Long Island was fought in what is now this New York City borough,Brooklyn
"""HIGH"" SCHOOL",The HD in the new digital format HDTV stands for this,high definition
OFF TO A GOOD START,It begins a football game or a special event like a political campaign,the kickoff
THE OBLIGATORY POETRY CATEGORY,Observing pilgrims traveling to the shrine of Thomas Becket inspired him to write his greatest work,Geoffrey Chaucer (The Canterbury Tales)
ART,"In 1920 this impressionist, known for his water lilies, painted another plant, ""Wisteria""",Claude Monet
THE REDCOATS ARE COMING!,"The British ferried 2,200 troops across this river to battle the Americans at Bunker Hill",the Charles River
"""HIGH"" SCHOOL","Acolytes, a subdeacon & a choir take part in this Catholic service",high mass
OFF TO A GOOD START,"In a business project, it's the level investors try to ""get in on""",the ground floor (or the ground level)
THE CONSTITUTION,"Word completing the line ""Nor shall any person be subject for the same offense to be twice put in"" this",Jeopardy
THRILLER,"This author's techno-thriller ""Rainbow Six"" focuses on John Clark, also a hero in ""Clear & Present Danger""",Tom Clancy
BEN,Ben Franklin went to London in 1757 to represent this colony's assembly,Pennsylvania
"""BLACK"" OR ""WHITE""",Name shared by a Sauk chief famous for his war & a U.S. military helicopter,Black Hawk
REMEMBER THE TIME,"In 1958 this country launched its second 5-year plan, called ""The Great Leap Forward""",China
ROCK WITH YOU,"This Jackson 5 (& later Mariah Carey) hit begins, ""You & I must make a pact, we must bring salvation back...""","""I'll Be There"""
EAT IT!,"This Hormel product was once simply known as ""spiced ham""",Spam
THRILLER,"This author made a University of Virginia law professor the protagonist of his 2002 novel ""The Summons""",(John) Grisham
BEN,"This publication that Ben first put out in 1732 often sold 10,000 copies a year",Poor Richard's Almanack
"""BLACK"" OR ""WHITE""","This ""Golden Girl"" had her own show in 1958 & 1977 & in 1999 became part of the cast of ""Ladies Man""",Betty White
REMEMBER THE TIME,In 960 Mieczyslaw I became the first ruler of this country,Poland
ROCK WITH YOU,"Jakob Dylan, the son of Bob Dylan, is the frontman for this group",The Wallflowers
EAT IT!,"It's the Spanish-named appetizer of tortilla chips & often beans, beef & onions topped with melted cheese",nachos
THRILLER,"You were born to identify this author of ""The Bourne Identity""",(Robert) Ludlum
BEN,In 1783 Franklin asked Congress to recall him from this country; he finally made it home in 1785,France
"""BLACK"" OR ""WHITE""","People have asked why the whole airplane isn't made out of the same material as this ""indestructible"" device",the black box
REMEMBER THE TIME,"In 1526 he greeted an Inca nobleman on his ship, but conquest would have to wait a few years until funds were raised",Pizarro
ROCK WITH YOU,"Eric Clapton charted 3 times with this song: in 1971, 1972 & 1992","""Layla"""
EAT IT!,"Paper-thin & often served for dessert, it's the French equivalent of a pancake",crêpes
THRILLER,"""The Numa Files"" are paperback spin-offs of this writer's novels featuring Dirk Pitt",Clive Cussler
BEN,"Current events of 1751 included the appearance of Ben's scientific work ""Experiments and Observations on"" this","""Electricity"""
"""BLACK"" OR ""WHITE""","John Archibald Wheeler coined this term in the '60s for a collapsed star so dense, no light can escape it",black hole
REMEMBER THE TIME,In 1998 U.S. cruise missiles hit this African country in response to bombings of U.S. embassies,Sudan
ROCK WITH YOU,"She's the single-named Colombian pop star heard <a href=""http://www.j-archive.com/media/2002-06-11_J_06.mp3"">here</a>",Shakira
EAT IT!,"(<a href=""http://www.j-archive.com/media/2002-06-11_J_11.wmv"">Jimmy of the Clue Crew gets ready to eat skewered meat.</a>)  This Asian favorite, sometimes chicken, sometimes beef, is usually served with a spicy peanut sauce",satay
THRILLER,"""The Attorney"" Paul Madriani appears in several legal thrillers by this lawyer-turned-author",Steve Martini
BEN,The Hutchinson Letters scandal got Ben fired as deputy this in 1774,postmaster general
"""BLACK"" OR ""WHITE""",Famous landmark composed of chalk in the county of Kent in England,the White Cliffs of Dover
REMEMBER THE TIME,This 1904-1905 war began in Manchuria & ended with the battle of Tsushima Strait,Russo-Japanese War
ROCK WITH YOU,"Quit your yellin' & name this 1995 hit duet for Michael & Janet Jackson, their first together","""Scream"""
EAT IT!,"Traditionally, shepherd's pie contains this meat, ground or diced",lamb
SCOTLAND,"About 80,000 Scots still speak the Scottish version of this ancient Celtic language",Gaelic
BABY BOOMER MEMORIES,In 1960 this Democrat spoke first in the first televised U.S. presidential election debate,John F. Kennedy
SOMETHING'S FISHY,"So as not to confuse it with the mammal, this fish is commonly referred to as mahi-mahi",a dolphinfish
"""T""ELEVISION","Running for 5 years, it starred William Shatner as a hard-nosed veteran police officer",T.J. Hooker
WORLD RELIGION,"In the presence of the Adi Granth, the sacred book of the Sikhs, you cover your head & remove these",your shoes
SORTA SOUNDS LIKE OPRAH?,"Bizet's ""Carmen"", for example",an opera
SCOTLAND,"Ben More, Ben Alder & Ben Macdui are not people but tall ones of these in Scotland",mountains
BABY BOOMER MEMORIES,"Likely containing a sandwich, the first of these depicting a TV character came along in 1950 with Hopalong Cassidy",a lunchbox
SOMETHING'S FISHY,The black type of this fish with a woman's name is a striking addition to any aquarium,a molly
"""T""ELEVISION","Reminiscent of ""Highway to Heaven"", this popular series stars Roma Downey & Della Reese",Touched by an Angel
WORLD RELIGION,"Sukkot, a Jewish festival, began as a harvest celebration & was a model for this centuries-old American holiday",Thanksgiving
SORTA SOUNDS LIKE OPRAH?,"Phrase that precedes ""dope"" in Ali's famed boxing strategy","""rope-a"""
SCOTLAND,"Defeated at Dunsinane by Malcolm in 1054, he wasn't dethroned until killed by Malcolm in 1057",Macbeth
BABY BOOMER MEMORIES,"The John Birch Society coined the term comsymp, short for this",Communist sympathizer
SOMETHING'S FISHY,"Less than half an inch long, this tiniest fish is found in the Indian Ocean, not in an Asian desert",a goby
"""T""ELEVISION",This offbeat series on E! provides a daily recap of funny chat show highlights,Talk Soup
WORLD RELIGION,"As they were partial to using hymns, these brothers, Charles & John, were the first rhythm Methodists",the Wesleys
SORTA SOUNDS LIKE OPRAH?,"In an Irish battle cry, these 2 words follow ""Erin""","""Go Bragh"""
SCOTLAND,"The Church of Scotland, the country's national church, is a branch of this Christian denomination",Presbyterian
BABY BOOMER MEMORIES,"In a heartbreaking scene, Travis has to kill his beloved dog in this 1957 film based on a Fred Gipson book",Old Yeller
SOMETHING'S FISHY,"Until one was caught in 1938, it was thought that this fish had been extinct for more than 70 million years",the coelacanth
"""T""ELEVISION","He's the large & goofy title TV superhero seen <a href=""http://www.j-archive.com/media/2002-06-11_DJ_04.wmv"">here</a>   <i>""Probably that one. The balcony...""</i>",The Tick
WORLD RELIGION,"Meaning ""sign of God"", it's the title of a Shi'ite Muslim scholar & leader",Ayatollah
SORTA SOUNDS LIKE OPRAH?,"(<a href=""http://www.j-archive.com/media/2002-06-11_DJ_19.jpg"" target=""_blank"">Jeff Probst reports from the Marquesas.</a>)  One of Nuku Hiva's main exports is this--dried coconut meat",copra
SCOTLAND,"Hundreds of years old, the de facto national flag features this saint's cross",Andrew
BABY BOOMER MEMORIES,In 1967 this 21-year-old started Rolling Stone magazine,Jann Wenner
SOMETHING'S FISHY,"It springs to mind that there's a Florida city named for this game fish seen <a href=""http://www.j-archive.com/media/2002-06-11_DJ_10.jpg"" target=""_blank"">here</a>",tarpon
"""T""ELEVISION","Co-hosted by John Davidson, it was ABC's response to NBC's ""Real People""",That's Incredible!
WORLD RELIGION,"Made up of 1,028 hymns in 10 books, it's the oldest of the Vedas in Hinduism",Rigveda
SORTA SOUNDS LIKE OPRAH?,"In 2001 this author of ""The Seven Spiritual Laws of Success"" published ""The  Deeper Wound""",(Deepak) Chopra
GEOGRAPHIC PHRASES,"This common term originated in the early 1500s with the book ""De Rebus Oceanicis et Novo Orbe""",the New World
ACTRESSES' FIRST FILMS,"""Body Heat""",Kathleen Turner
LIBRARIES,Marsh's Library in this country was founded c. 1702 by the Archbishop of Dublin,Ireland
TELEPHONE HISTORY,In 1991 this telephone company launched its Friends & Family promotion,MCI
VERMONTERS,This leader of the Green Mountain Boys did not live to see Vermont become a state,Ethan Allen
"""X"", ""Y"", ""Z""","It looks like a sweet potato, but it isn't even a distant relative",a yam
SHAKESPEAREAN LAST SCENES,"You could say this comedy ""ends well"" -- Helena finally wins the love of her husband Bertram",All's Well That Ends Well
ACTRESSES' FIRST FILMS,"""To Have and Have Not""",(Lauren) Bacall
LIBRARIES,"Architect Gordon Bunshaft designed this presidential library in Austin, Texas",the LBJ library
TELEPHONE HISTORY,"As of July 1, 1968 you could dial this 3-digit number in New York City & get the police",911
VERMONTERS,"This founding prophet of Mormonism was born in Sharon, Vermont in 1805",Joseph Smith
"""X"", ""Y"", ""Z""",It's a kind of striped mussel as well as a striped equine,a zebra
SHAKESPEAREAN LAST SCENES,"Though this comedy has Verona in its title, it ends in a forest on the frontiers of Mantua",The Two Gentlemen of Verona
ACTRESSES' FIRST FILMS,"""The Outlaw""",Jane Russell
LIBRARIES,"Sterling Memorial Library in New Haven, Connecticut houses the archives of this university",Yale
TELEPHONE HISTORY,"On Oct. 30, 1938 phone traffic peaked in cities all over America as people discussed this broadcast","the ""War of the Worlds"""
VERMONTERS,"This plow inventor was a Vermont blacksmith before moving to Grand Detour, Illinois",John Deere
"""X"", ""Y"", ""Z""","Despite its bulk, this wild ox found in Tibet is an excellent swimmer",a yak
SHAKESPEAREAN LAST SCENES,"Near the end of ""Henry VIII"", this princess is described as ""a most unspotted lily"", who will die a virgin",Elizabeth I
ACTRESSES' FIRST FILMS,"""Oklahoma!""",Shirley Jones
LIBRARIES,"Salinas, California, has a public library named for this novelist",Steinbeck
TELEPHONE HISTORY,In 1980 Dial-It National Sports became the first service on this new area code,1-900
VERMONTERS,George Franklin Edmunds wrote most of this antitrust act of 1890,the Sherman (Antitrust Act)
"""X"", ""Y"", ""Z""","Some of these are produced by bremsstrahlung, from the German for ""breaking radiation""",x-rays
SHAKESPEAREAN LAST SCENES,"Puck's last speech in this play begins, ""If we shadows have offended, think but this--and all is mended""",A Midsummer Night's Dream
ACTRESSES' FIRST FILMS,"""Halloween""",Jamie Lee Curtis
LIBRARIES,In 1602 this university's library reopened after restoration work by Sir Thomas Bodley,Oxford University
TELEPHONE HISTORY,"In 1880 he invented the photophone, a device that sent messages through the air on beams of light",Alexander Graham Bell
VERMONTERS,At age 15 this future New York Tribune editor was apprenticed to a printer in East Poultney,Horace Greeley
"""X"", ""Y"", ""Z""","This Saint Francis was the ""Apostle of the Indies""",Xavier
SHAKESPEAREAN LAST SCENES,"In the last scene of this comedy, Petruchio wins a bet that he has the most obedient wife",The Taming of the Shrew
MEDICAL MILESTONES,"In 1751, with Benjamin Franklin's help, the 1st hospital in the U.S. was founded in this city",Philadelphia
POETS & POETRY,"Of the 31 pilgrims in this Chaucer work, only 23 tell their stories",The Canterbury Tales
WORLD GEOGRAPHY,Large aboriginal populations live in this country's states of Queensland & New South Wales,Australia
MIXED DRINKS,The juice of one of these citrus fruits makes a Whiskey Sour sour,a lemon
THE 1930s,"In 1936, in defiance of the Treaty of Versailles, this country began remilitarizing the Rhineland",Germany
POP MUSIC,"He recorded ""Gone At Last"" with Phoebe Snow, not Art Garfunkel",Paul Simon
MEDICAL MILESTONES,In 1867 Thomas Allbutt invented one of these instruments which took 5 minutes to register instead of 20,a thermometer
POETS & POETRY,"This Longfellow poem was suggested by a smithy under a chestnut tree in Cambridge, Massachusetts","""The Village Blacksmith"""
WORLD GEOGRAPHY,"Administrative units in this country include Giza, Aswan & Suez",Egypt
MIXED DRINKS,This pomegranate syrup turns a Pink Lady pink,grenadine
THE 1930s,This longtime anchor of the CBS Evening News became a UPI correspondent in 1939,Walter Cronkite
POP MUSIC,"She sang ""Better Be Good To Me"" in 1984, a few years after she broke up with Ike",Tina Turner
MEDICAL MILESTONES,Dutch physician Willem Kolff developed the 1st of these kidney machines that cleanse the blood,a dialysis machine
POETS & POETRY,"Oliver Wendell Holmes wrote of this ship, ""Oh better that her shattered hulk should sink beneath the wave""","""Old Ironsides"""
WORLD GEOGRAPHY,This longest river on the Iberian Peninsula is also known as the Tajo,the Tagus
MIXED DRINKS,A teaspoon of creme de cassis is added to this to make a Kir,white wine
THE 1930s,Helen Keller brought the first of these Japanese dogs to the United States in 1937,the akita
POP MUSIC,"In ""Take Me Home, Country Roads"", John Denver sang, ""Almost heaven,"" this state",West Virginia
MEDICAL MILESTONES,In 1906 August von Wassermann developed a well-known test for this sexually transmitted disease,syphilis
POETS & POETRY,"His ""When the Frost is on the Punkin"" was written for a series in the Indianapolis Journal",(James Whitcomb) Riley
WORLD GEOGRAPHY,"Cabinda, an area of this former Portuguese colony, is separated from the rest of it by Zaire",Angola
MIXED DRINKS,"A basic Gin Rickey is gin, lime & this non-potent potable",soda water
THE 1930s,He was appointed conductor of the Boston Pops in 1930,Arthur Fiedler
POP MUSIC,"Alan, Merrill & Wayne, 3 of these Utah brothers, co-wrote their own 1972 hit ""Crazy Horses""",the Osmonds
MEDICAL MILESTONES,In 1982 William DeVries performed the 1st permanent artificial heart transplant on this man,Barney Clark
POETS & POETRY,"He was descended from an Abyssinian prince, Peter the Great's godson",(Aleksandr) Pushkin
WORLD GEOGRAPHY,The Indus River provides the western border of this desert also known as the Great Indian Desert,the Thar Desert
MIXED DRINKS,Using Scotch whisky turns a Manhattan into this drink,a Rob Roy
THE 1930s,"This author of ""Anne of Green Gables"" was awarded the Order of the British Empire in 1935",(Lucy Maud) Montgomery
POP MUSIC,"This singer's 1970 hit ""I'll Never Fall In Love Again"" was from the Broadway musical ""Promises, Promises""",Dionne Warwick
AMERICAN HISTORY,"On May 29, 1765 Patrick Henry's Stamp Act protest was interrupted with this one word",Treason!
"CANADIAN GEOGRAPHY, EH?",A narrow passage separates Canada's Ellesmere Island from this large Danish island,Greenland
ON HIS BASEBALL HALL OF FAME PLAQUE,"This Yankee was the ""greatest drawing card in history of baseball""",Babe Ruth
STAMPS,"Woo hoo! In 2009 this animated family was chosen to grace stamps, though postage did go up to 44 cents (D'oh!)",the Simpsons
THE KILLERS,In Genesis 4 he becomes the first killer; God isn't happy,Cain
SPOTT THA MISPELED WURD,Meet me in the library for a liaison at your liesure,leisure
THE BIG 10,The first 10 of these are known as the Bill of Rights,the Amendments
"CANADIAN GEOGRAPHY, EH?","Mount Logan, Canada's highest peak, is found in this territory",the Yukon Territory
ON HIS BASEBALL HALL OF FAME PLAQUE,"""Detroit - Philadelphia, A.L. - 1905-1926... retired with 4191 major league hits""",(Ty) Cobb
STAMPS,This astronomer for whom a space telescope is named is honored in the American Scientists series,(Edwin) Hubble
THE KILLERS,"In one of the few documented one-on-one Old West gunfights, this ""Wild"" man killed Davis Tutt in 1865",Wild Bill Hickok
SPOTT THA MISPELED WURD,"The occasional misspelling is noticable on a telecast like ""Jeopardy!""",noticeable
THE BIG 10,In Israel Tevet is the tenth of these,month
"CANADIAN GEOGRAPHY, EH?","Of the top 5 Canadian cities in population, it's the one closest to the Pacific Ocean",Vancouver
ON HIS BASEBALL HALL OF FAME PLAQUE,"""'Mr. Octobe",(Reggie) Jackson
STAMPS,"A stamp honors this 19th c. author about whom it was said, ""So this is the little lady who made this big war""",Harriet Beecher Stowe
THE KILLERS,Bodyguards Satwant & Beant Singh killed this female leader of India in 1984,Indira Gandhi
SPOTT THA MISPELED WURD,"If you supersede the competition, you will excede all expectations",exceed
THE BIG 10,"In L.A., the western tip of Interstate 10 is called this ""freeway"", after the beach community it passes through",Santa Monica
"CANADIAN GEOGRAPHY, EH?","Appropriately, New Glasgow is in this Canadian province",Nova Scotia
ON HIS BASEBALL HALL OF FAME PLAQUE,"This 2009 inductee was ""faster than a speeding bullet""",Rickey Henderson
STAMPS,"An international rate stamp has a photo of <a href=""http://www.j-archive.com/media/2010-02-08_J_28a.jpg"" target=""_blank"">this</a> nearly 700-sq mile swamp in Georgia and Florida",the Okefenokee
THE KILLERS,"This ""insect"" of a gangster was a real-life hit man for Murder Incorporated in the 1930s & '40s",Bugsy Siegel
SPOTT THA MISPELED WURD,We want you to be committed to catagorizing your collectibles cohesively,categorizing
THE BIG 10,"The title of this Boccaccio work means ""10 Days""",Decameron
"CANADIAN GEOGRAPHY, EH?","This province has the longest border, including water, with the United States",Ontario
ON HIS BASEBALL HALL OF FAME PLAQUE,"""Boston Red Sox A.L. 1939-1960... batted .406 in 1941""",Ted Williams
STAMPS,The Distinguished Marines series honors the man for whom a North Carolina Marine Corps base was named,Lt. Gen. John Lejeune
THE KILLERS,"Pausanius, a young Macedonian noble, killed this man, Alexander's dad, in 336 B.C.",Philip
SPOTT THA MISPELED WURD,The accomodations at the monastery were rudimentary at best,accommodations
THE BIG 10,"(<a href=""http://www.j-archive.com/media/2010-02-08_J_20.jpg"" target=""_blank"">Alex stands in front of an exhibit at the Newseum.</a>) The exhibit G-men and journalists contains the very first ledger in which this list was kept. It began when a reporter asked the FBI, ""Who are the toughest guys you're looking for?""",the FBI's 10 most wanted list
GENERAL SCIENCE,In 1869 this Austrian monk published a paper on hawkweed: the experiments didn't work as well as the ones with peas,Mendel
INSTRUMENT ETYMOLOGY,"It's appropriate that the name of this double reed instrument with a low range comes from the Italian for ""low""",a bassoon
FACIAL EXPRESSIONS,"This word meaning ""empty"" or ""to be filled in"" describes a vacant type of stare",blank
LIT MY FIRE,"""The Fire Sermon"" is Part III of this poet's ""The Waste Land""",T.S. Eliot
THE STAR'S TV SHOW & MOVIE,"""Sex and the City"", ""Sex and the City"" (& ""Did you Hear About the Morgans?"")",Sarah Jessica Parker
THE BIG 10-LETTER WORDS,"Relatively speaking, it's your mom's husband by a later marriage",a stepfather
GENERAL SCIENCE,Unusual names borne by these celestial objects include 3834 Zappafrank & 10221 Kubrick,asteroids
INSTRUMENT ETYMOLOGY,"Your dog will scratch his head if you don't know the ukulele's name comes from the Hawaiian for this ""jumping"" insect",the flea
FACIAL EXPRESSIONS,It's a self-satisfied smile or grin that you may be asked to wipe off your face,smirk
LIT MY FIRE,The burning of Moscow after Napoleon's exit is dramatized in this Tolstoy novel,War and Peace
THE STAR'S TV SHOW & MOVIE,"""Bosom Buddies"", ""The Green Mile""",Tom Hanks
THE BIG 10-LETTER WORDS,"From the late Latin for ""word"", this book is the last word on words",dictionary
GENERAL SCIENCE,"(<a href=""http://www.j-archive.com/media/2010-02-08_DJ_10.jpg"" target=""_blank"">Jimmy of the Clue Crew holds a bicycle wheel</a>)  When I torque a spinning bike wheel, an equal and opposite torque causes me to rotate also, an illustration of the conservation of angular this",momentum
INSTRUMENT ETYMOLOGY,The first 4 letters of xylophone refer etymologically to this material used to make its sounding bars,wood
FACIAL EXPRESSIONS,"In the 1600s Charles Le Brun drew illlustrations for each of the passions. <a href=""http://www.j-archive.com/media/2010-02-08_DJ_16a.jpg"" target=""_blank"">Here's</a> la haine, this opposite of love",hate
LIT MY FIRE,"In Book 1 of this, Satan is ""hurld hedlong flaming from th' ethereal skies... to dwell in adamantine chains and penal fire""",Paradise Lost
THE STAR'S TV SHOW & MOVIE,"""Friends"", ""Bruce Almighty""",Jennifer Aniston
THE BIG 10-LETTER WORDS,Don't lose your head: this French device shares its name with an instrument for surgically removing tonsils,guillotine
GENERAL SCIENCE,This 4-letter neutral compound is produced by the reaction of an acid & a base,a salt
INSTRUMENT ETYMOLOGY,"From the Latin for ""clear"" comes the name for this woodwind instrument",clarinet
FACIAL EXPRESSIONS,Jack Nicholson movie villain known for his rictus,the Joker
LIT MY FIRE,"This Irish poet's ""Sailing to Byzantium"" urges ""sages... in God's holy fire"" to be ""singing masters of my soul""",William Butler Yeats
THE STAR'S TV SHOW & MOVIE,"""In Living Color"", ""Bruce Almighty""",Jim Carrey
THE BIG 10-LETTER WORDS,The report's back from the lab; it's the science dealing with the detection of poisons,toxicology
GENERAL SCIENCE,"Plants having these underground stems, from the Greek for ""root"", include irises, bamboo & wild ginger",rhizomes
INSTRUMENT ETYMOLOGY,"The name of <a href=""http://www.j-archive.com/media/2010-02-08_DJ_27b.jpg"" target=""_blank"">this</a> instrument has nothing to do with the religion, but is more likely a corruption of the word ""jaw""",Jew's harp
FACIAL EXPRESSIONS,"This word for a sidelong glance of crude desire used to mean ""the cheek""",a leer
LIT MY FIRE,"His 1963 bestseller ""The Fire Next Time"" took its title from an old spiritual",James Baldwin
THE STAR'S TV SHOW & MOVIE,"""The Office"", ""Bruce Almighty""",Steve Carell
THE BIG 10-LETTER WORDS,Something that's the first son's due; Esau sold his,birthright
RANKS & TITLES,"Owain Glyndwr, who died circa 1416, was the last native of his country to claim this title",Prince of Wales
WEATHER WORLD,"Libya's arid climate is made worse by the ghibli, a crop-destroying wind from this desert",Sahara
ON THE COVER OF SGT. PEPPER,"He's an African explorer, ""I presume""",Dr. Livingstone
CLOTHING WORDS,"A score of 22-22, for instance",tie
MY PLACE?,"A Norman could say, ""I'm the king of the motte-and-bailey style of"" this",castle
IT'S A DATE!,You'll find this date on a calendar only once every 4 years,February 29 (for a leap year)
"""J"" WHIZ","It's a trip taken by a public official at public expense, ostensibly for official business",junket
WEATHER WORLD,"In addition to helping commerce, these ocean winds bring pleasant weather to islands like Hawaii",trade winds
ON THE COVER OF SGT. PEPPER,Bob Dylan appears as does this poet from whom he may have taken his stage name,Dylan Thomas
CLOTHING WORDS,To lose footing on icy ground,slip
MY PLACE?,"As he often said, Chris Farley's character Matt Foley lived in one of these down by the river",van
